Date,Link,OptionText
2022-02-25 19:32:53,https://www.linkedin.com/feed/update/urn:li:ugcPost:6902915251055247361,Machine Learning
2022-02-22 11:04:37,https://www.linkedin.com/feed/update/urn:li:ugcPost:6901789485802094592,Ashneer Grover 
2022-02-12 15:27:32,https://www.linkedin.com/feed/update/urn:li:ugcPost:6898279851900702720,How to be happy 😃
2022-02-07 08:06:12,https://www.linkedin.com/feed/update/urn:li:ugcPost:6896080406119346176,Ashneer Grover
2022-02-04 12:23:32,https://www.linkedin.com/feed/update/urn:li:ugcPost:6895245454314217472,650%
2022-02-02 13:18:36,https://www.linkedin.com/feed/update/urn:li:ugcPost:6894592752793767936,LinkedIn
2022-02-01 22:10:16,https://www.linkedin.com/feed/update/urn:li:ugcPost:6894302755704713216,Off Campus
2022-02-01 17:32:40,https://www.linkedin.com/feed/update/urn:li:ugcPost:6894279443288866816,30 LPA
2022-01-30 21:13:41,https://www.linkedin.com/feed/update/urn:li:ugcPost:6893526083145449472,Amazon Alexa
2022-01-28 14:02:21,https://www.linkedin.com/feed/update/urn:li:ugcPost:6892788959596945408,Ashneer
2022-01-23 17:51:55,https://www.linkedin.com/feed/update/urn:li:ugcPost:6890990129490866176,Your mental health
2022-01-23 07:19:17,https://www.linkedin.com/feed/update/urn:li:ugcPost:6890855583658991616,1 - 4 hrs
2022-01-23 07:19:04,https://www.linkedin.com/feed/update/urn:li:ugcPost:6890875484880916480,Clustering Algorithms
2022-01-21 20:49:22,https://www.linkedin.com/feed/update/urn:li:ugcPost:6890259980508102656,Yes
2022-01-20 12:25:11,https://www.linkedin.com/feed/update/urn:li:ugcPost:6889800725711335425,Python
2022-01-20 00:05:59,https://www.linkedin.com/feed/update/urn:li:ugcPost:6889469075274182656,Others (in comment section)
2022-01-19 23:37:55,https://www.linkedin.com/feed/update/urn:li:ugcPost:6889547730499194880,1. Power BI
2022-01-19 19:25:42,https://www.linkedin.com/feed/update/urn:li:ugcPost:6889548258394300416,Asking for a salary hike
2022-01-19 17:24:52,https://www.linkedin.com/feed/update/urn:li:ugcPost:6889605658803617792,Hindi
2022-01-18 21:45:44,https://www.linkedin.com/feed/update/urn:li:ugcPost:6889098831456280576,2. Power BI
2022-01-18 21:44:49,https://www.linkedin.com/feed/update/urn:li:ugcPost:6889194195181940736,import numpy as np
2022-01-16 19:56:58,https://www.linkedin.com/feed/update/urn:li:ugcPost:6888522950815817728,False
2022-01-14 11:53:27,https://www.linkedin.com/feed/update/urn:li:ugcPost:6887691156084273152,All of these
2022-01-13 17:35:25,https://www.linkedin.com/feed/update/urn:li:ugcPost:6887331538212573184,Data Scientist will go further
2022-01-13 17:34:28,https://www.linkedin.com/feed/update/urn:li:ugcPost:6887396591234281472,Profile rejection
2022-01-13 14:39:41,https://www.linkedin.com/feed/update/urn:li:ugcPost:6887394851743117312,For few years only
2022-01-13 07:50:38,https://www.linkedin.com/feed/update/urn:li:ugcPost:6885788803039068160,2024
2022-01-13 07:50:30,https://www.linkedin.com/feed/update/urn:li:ugcPost:6887252777710477312,WHERE
2022-01-11 20:03:55,https://www.linkedin.com/feed/update/urn:li:ugcPost:6886555686692552704,"10,000 - 20,000"
2022-01-09 10:57:36,https://www.linkedin.com/feed/update/urn:li:ugcPost:6885594848326512640,USA
2022-01-07 17:44:12,https://www.linkedin.com/feed/update/urn:li:ugcPost:6885235387371945984,Joins & Group By
2022-01-05 13:05:40,https://www.linkedin.com/feed/update/urn:li:ugcPost:6884378261284122624,5 Days working and 8 Hrs/ Day
2022-01-05 12:04:02,https://www.linkedin.com/feed/update/urn:li:ugcPost:6883371803813679105,Sanskrit
2022-01-04 08:59:40,https://www.linkedin.com/feed/update/urn:li:ugcPost:6883756609772900353,Data /Business analytics
2022-01-01 20:22:33,https://www.linkedin.com/feed/update/urn:li:ugcPost:6882856015860125696,After 10 am
2022-01-01 20:17:47,https://www.linkedin.com/feed/update/urn:li:ugcPost:6882960539836846080,Python🐍
2021-12-22 09:58:59,https://www.linkedin.com/feed/update/urn:li:ugcPost:6878978387247984640,started
2021-12-20 21:18:31,https://www.linkedin.com/feed/update/urn:li:ugcPost:6878767251454013440,3 - I'm proficient
2021-12-18 14:45:59,https://www.linkedin.com/feed/update/urn:li:ugcPost:6877928334399942656,"Alter,drop"
2021-12-13 21:30:01,https://www.linkedin.com/feed/update/urn:li:ugcPost:6876145586807087104,Night (After 8 PM)
2021-12-11 12:22:37,https://www.linkedin.com/feed/update/urn:li:ugcPost:6873477786909204480,Yes
2021-12-08 19:29:20,https://www.linkedin.com/feed/update/urn:li:ugcPost:6874197891167203328,UAE
2021-12-08 07:10:20,https://www.linkedin.com/feed/update/urn:li:ugcPost:6874216196791640065,With Youtube Videos
2021-12-07 22:40:25,https://www.linkedin.com/feed/update/urn:li:ugcPost:6873881973509668864,No
2021-12-07 22:40:01,https://www.linkedin.com/feed/update/urn:li:ugcPost:6874032602177781760,No
2021-12-07 15:13:35,https://www.linkedin.com/feed/update/urn:li:ugcPost:6873989097615179776,3. 10% to 20%
2021-12-04 16:31:46,https://www.linkedin.com/feed/update/urn:li:ugcPost:6872799038492688384,Jupyter Lab / Jupyter Notebook
2021-12-03 03:32:06,https://www.linkedin.com/feed/update/urn:li:ugcPost:6872166094275268608,Yes 👍
